0000,0000,STATEWIDE DATA,,60747,2649,4.4,2537,4.2,6320,10.4,32052,52.8,17189,28.3
8110,0000,21st Century Prep Sch,,51,0,0.0,7,13.7,10,19.6,29,56.9,5,9.8
8110,0100,21st Century Prep Sch,21st Century Prep Sch,51,0,0.0,7,13.7,10,19.6,29,56.9,5,9.8
0007,0000,Abbotsford,,38,0,0.0,1,2.6,2,5.3,24,63.2,11,28.9
0007,0020,Abbotsford,Abbotsford El,38,0,0.0,1,2.6,2,5.3,24,63.2,11,28.9
0014,0000,Adams-Friendship Area,,151,4,2.6,4,2.6,15,9.9,85,56.3,43,28.5
0014,0130,Adams-Friendship Area,Adams-Friendship El,69,3,4.3,4,5.8,12,17.4,37,53.6,13,18.8
0014,0080,Adams-Friendship Area,Castle Rock El,25,0,0.0,0,0.0,2,8.0,17,68.0,6,24.0
0014,0140,Adams-Friendship Area,Grand Marsh El,25,0,0.0,0,0.0,1,4.0,15,60.0,9,36.0
0014,0180,Adams-Friendship Area,Pine Land El,14,1,7.1,0,0.0,0,0.0,6,42.9,7,50.0
0014,0200,Adams-Friendship Area,Roche A Cri El,18,0,0.0,0,0.0,0,0.0,10,55.6,8,44.4
0063,0000,Albany,,26,2,7.7,1,3.8,2,7.7,12,46.2,9,34.6
0063,0020,Albany,Albany El,26,2,7.7,1,3.8,2,7.7,12,46.2,9,34.6
0070,0000,Algoma,,35,1,2.9,0,0.0,1,2.9,13,37.1,20,57.1
0070,0020,Algoma,Algoma El,35,1,2.9,0,0.0,1,2.9,13,37.1,20,57.1
0084,0000,Alma,,21,0,0.0,2,9.5,5,23.8,11,52.4,3,14.3
0084,0020,Alma,Alma El,21,0,0.0,2,9.5,5,23.8,11,52.4,3,14.3
0091,0000,Alma Center,,34,1,2.9,0,0.0,2,5.9,19,55.9,12,35.3
0091,0080,Alma Center,Lincoln El,34,1,2.9,0,0.0,2,5.9,19,55.9,12,35.3
0105,0000,Almond-Bancroft,,47,0,0.0,0,0.0,3,6.4,29,61.7,15,31.9
0105,0020,Almond-Bancroft,Almond El,47,0,0.0,0,0.0,3,6.4,29,61.7,15,31.9
0112,0000,Altoona,,102,3,2.9,1,1.0,14,13.7,47,46.1,37,36.3
0112,0080,Altoona,Pedersen El,102,3,2.9,1,1.0,14,13.7,47,46.1,37,36.3
0119,0000,Amery,,122,8,6.6,0,0.0,5,4.1,56,45.9,53,43.4
0119,0020,Amery,Lien El,122,8,6.6,0,0.0,5,4.1,56,45.9,53,43.4
0140,0000,Antigo,,178,2,1.1,1,0.6,14,7.9,119,66.9,42,23.6
0140,0020,Antigo,Aniwa El,10,0,0.0,1,10.0,2,20.0,7,70.0,0,0.0
0140,0080,Antigo,Crestwood El,13,0,0.0,0,0.0,0,0.0,12,92.3,1,7.7
0140,0100,Antigo,East El,20,1,5.0,0,0.0,2,10.0,11,55.0,6,30.0
0140,0160,Antigo,Mattoon El,10,0,0.0,0,0.0,2,20.0,4,40.0,4,40.0
0140,0180,Antigo,North El,35,0,0.0,0,0.0,6,17.1,20,57.1,9,25.7
0140,0200,Antigo,Pleasant View El,23,0,0.0,0,0.0,1,4.3,17,73.9,5,21.7
0140,0240,Antigo,River Grove El,13,0,0.0,0,0.0,0,0.0,9,69.2,4,30.8
0140,0260,Antigo,Spring Valley El,25,0,0.0,0,0.0,0,0.0,20,80.0,5,20.0
0140,0280,Antigo,West El,29,1,3.4,0,0.0,1,3.4,19,65.5,8,27.6
0147,0000,Appleton Area,,1068,67,6.3,28,2.6,115,10.8,531,49.7,327,30.6
0147,0060,Appleton Area,Badger El,37,0,0.0,0,0.0,4,10.8,20,54.1,13,35.1
0147,0220,Appleton Area,Berry El,69,3,4.3,1,1.4,0,0.0,29,42.0,36,52.2
0147,0110,Appleton Area,Classical Charter Sch,50,0,0.0,0,0.0,2,4.0,27,54.0,21,42.0
0147,0080,Appleton Area,Columbus El,37,3,8.1,1,2.7,11,29.7,18,48.6,4,10.8
0147,0100,Appleton Area,Edison El,42,5,11.9,3,7.1,5,11.9,15,35.7,14,33.3
0147,0130,Appleton Area,Ferber El,98,2,2.0,0,0.0,7,7.1,45,45.9,44,44.9
0147,0140,Appleton Area,Foster El,35,0,0.0,2,5.7,8,22.9,17,48.6,8,22.9
0147,0160,Appleton Area,Franklin El,54,2,3.7,3,5.6,2,3.7,31,57.4,16,29.6
0147,0180,Appleton Area,Highlands El,99,10,10.1,3,3.0,14,14.1,50,50.5,22,22.2
0147,0190,Appleton Area,Horizons El,71,5,7.0,2,2.8,11,15.5,40,56.3,13,18.3
0147,0195,Appleton Area,Houdini El,92,5,5.4,1,1.1,6,6.5,48,52.2,32,34.8
0147,0200,Appleton Area,Huntley El,67,9,13.4,3,4.5,3,4.5,34,50.7,18,26.9
0147,0240,Appleton Area,Jefferson El,58,4,6.9,1,1.7,10,17.2,27,46.6,16,27.6
0147,0260,Appleton Area,Johnston El,69,8,11.6,0,0.0,4,5.8,35,50.7,22,31.9
0147,0280,Appleton Area,Lincoln El,63,5,7.9,4,6.3,11,17.5,29,46.0,14,22.2
0147,0320,Appleton Area,McKinley El,67,6,9.0,1,1.5,13,19.4,29,43.3,18,26.9
0147,0340,Appleton Area,Richmond El,34,0,0.0,0,0.0,3,8.8,21,61.8,10,29.4
0147,0125,Appleton Area,Wis Connections Acad,26,0,0.0,3,11.5,1,3.8,16,61.5,6,23.1
0154,0000,Arcadia,,68,2,2.9,0,0.0,2,2.9,25,36.8,39,57.4
0154,0020,Arcadia,Arcadia El,68,2,2.9,0,0.0,2,2.9,25,36.8,39,57.4
0161,0000,Argyle,,24,0,0.0,1,4.2,2,8.3,16,66.7,5,20.8
0161,0020,Argyle,Argyle El,24,0,0.0,1,4.2,2,8.3,16,66.7,5,20.8
0170,0000,Ashland,,163,10,6.1,0,0.0,6,3.7,94,57.7,53,32.5
0170,0060,Ashland,Lake Superior Intermediate,142,10,7.0,0,0.0,6,4.2,82,57.7,44,31.0
0170,0120,Ashland,Marengo Valley El,21,0,0.0,0,0.0,0,0.0,12,57.1,9,42.9
0182,0000,Ashwaubenon,,189,0,0.0,8,4.2,31,16.4,104,55.0,46,24.3
0182,0050,Ashwaubenon,Pioneer El,76,0,0.0,1,1.3,13,17.1,41,53.9,21,27.6
0182,0060,Ashwaubenon,Valley View El,113,0,0.0,7,6.2,18,15.9,63,55.8,25,22.1
0196,0000,Athens,,31,0,0.0,4,12.9,3,9.7,12,38.7,12,38.7
0196,0020,Athens,Athens El,31,0,0.0,4,12.9,3,9.7,12,38.7,12,38.7
0203,0000,Auburndale,,48,0,0.0,3,6.3,3,6.3,22,45.8,20,41.7
0203,0040,Auburndale,Auburndale El,48,0,0.0,3,6.3,3,6.3,22,45.8,20,41.7
0217,0000,Augusta,,42,0,0.0,4,9.5,2,4.8,20,47.6,16,38.1
0217,0020,Augusta,Augusta El,42,0,0.0,4,9.5,2,4.8,20,47.6,16,38.1
0231,0000,Baldwin-Woodville Area,,118,0,0.0,3,2.5,17,14.4,67,56.8,31,26.3
0231,0070,Baldwin-Woodville Area,Greenfield El,118,0,0.0,3,2.5,17,14.4,67,56.8,31,26.3
0245,0000,Bangor,,57,2,3.5,3,5.3,6,10.5,28,49.1,18,31.6
0245,0020,Bangor,Bangor El,57,2,3.5,3,5.3,6,10.5,28,49.1,18,31.6
0280,0000,Baraboo,,230,1,0.4,10,4.3,24,10.4,133,57.8,62,27.0
0280,0060,Baraboo,East El,57,0,0.0,3,5.3,8,14.0,33,57.9,13,22.8
0280,0080,Baraboo,Fairfield Center El,20,0,0.0,1,5.0,3,15.0,13,65.0,3,15.0
0280,0140,Baraboo,North Freedom El,37,0,0.0,0,0.0,2,5.4,26,70.3,9,24.3
0280,0180,Baraboo,South El,34,0,0.0,0,0.0,3,8.8,18,52.9,13,38.2
0280,0220,Baraboo,West El,19,0,0.0,0,0.0,0,0.0,12,63.2,7,36.8
0280,0110,Baraboo,Willson El,63,1,1.6,6,9.5,8,12.7,31,49.2,17,27.0
0287,0000,Barneveld,,26,0,0.0,0,0.0,5,19.2,17,65.4,4,15.4
0287,0020,Barneveld,Barneveld El,26,0,0.0,0,0.0,5,19.2,17,65.4,4,15.4
0308,0000,Barron Area,,91,8,8.8,3,3.3,9,9.9,45,49.5,26,28.6
0308,0020,Barron Area,Almena El,7,0,0.0,0,0.0,0,0.0,5,71.4,2,28.6
0308,0120,Barron Area,Ridgeland El,16,0,0.0,3,18.8,1,6.3,8,50.0,4,25.0
0308,0160,Barron Area,Woodland El,68,8,11.8,0,0.0,8,11.8,32,47.1,20,29.4
0315,0000,Bayfield,,35,2,5.7,2,5.7,5,14.3,14,40.0,12,34.3
0315,0020,Bayfield,Bayfield El,31,2,6.5,2,6.5,5,16.1,13,41.9,9,29.0
0315,0060,Bayfield,La Pointe El,4,*,*,*,*,*,*,*,*,*,*
0336,0000,Beaver Dam,,221,18,8.1,8,3.6,14,6.3,128,57.9,53,24.0
